模型,准确率,宏平均F1,加权平均F1,训练耗时（秒）,预测耗时（秒）,总耗时（秒）
随机森林,0.8774,0.8760965929182187,0.8760965929182188,20.44225269999879,0.17128340000635944,20.61353610000515
线性SVM,0.8372,0.8347233960255765,0.8347233960255765,1457.3708692,0.06588239999837242,1457.4367515999984
SGD逻辑回归,0.8295,0.8276348201739854,0.8276348201739853,7.7207909999997355,0.04005189999588765,7.760842899995623
